disciplina;quantidade de turmas;total de vagas;qtdade. de solicitações;qtdade. de matrículas deferidas;qtdade. de matrículas indeferidas
LHE0001-19;2;80;71;83;0
LHE0002-19;2;80;25;26;0
LHE0004-19;2;80;23;39;0
LHZ0011-19;1;45;11;21;0
LHZ0014-19;2;90;29;37;0
LIE0001-19;4;180;93;110;0
MCTA001-17;4;300;562;450;143
MCTA003-17;1;20;110;20;90
MCTA006-17;2;150;311;150;161
MCTA015-13;2;150;241;150;91
MCTA017-17;1;75;112;75;37
MCTA022-13;1;60;93;75;18
MCTA022-17;2;150;250;300;0
MCTA023-17;2;150;217;150;67
MCTA026-13;2;150;265;225;41
MCTA028-15;2;126;182;139;43
MCTA033-15;2;150;307;300;32
MCTB001-17;7;525;624;525;100
MCTB003-17;1;75;9;10;0
MCTB004-17;1;75;19;19;0
MCTB005-13;1;75;29;40;0
MCTB008-17;1;75;36;60;0
MCTB009-17;5;375;467;374;120
MCTB018-17;1;75;18;22;0
MCTB019-17;4;300;329;300;75
MCTB021-17;1;75;19;21;0
MCTB024-13;1;45;5;6;0
MCTB025-13;1;45;5;5;0
MCTB027-13;1;45;12;12;0
MCTC002-15;4;180;149;181;0
MCTC011-15;2;90;120;120;0
MCTC014-13;5;375;323;347;29
MCTC019-15;2;90;73;83;0
MCTC023-15;6;156;98;107;0
MCTC025-20;2;90;57;63;0
MCTD016-18;2;60;23;36;0
MCTD019-18;2;60;15;15;0
MCTD020-18;2;90;26;30;0
MCTD022-18;2;90;63;77;0
MCZA002-17;2;150;106;150;0
MCZA004-13;1;75;41;75;0
MCZA007-13;1;75;168;75;93
MCZA008-17;1;75;111;75;36
MCZA018-17;1;75;61;75;0
MCZA033-17;1;75;84;75;9
MCZA035-17;1;75;24;38;0
MCZB008-13;1;75;2;2;0
MCZB014-17;1;75;2;4;0
MCZB018-13;1;75;23;40;0
MCZB035-17;1;45;18;30;0
MCZC004-15;2;90;74;79;1
MCZC012-15;2;90;51;76;0
MCZC016-15;2;90;99;99;0
MCZC020-20;2;90;65;84;0
MCZD001-18;1;45;13;21;0
MCZD007-18;1;45;8;10;0
MCZD009-18;1;45;7;4;0
NHH2007-13;2;90;45;59;0
NHH2012-13;2;90;14;22;0
NHH2017-16;2;80;37;61;0
NHH2020-13;2;90;15;30;0
NHH2033-18;2;90;34;52;0
NHH2035-13;2;90;49;77;0
NHH2041-13;2;90;26;34;0
NHH2064-13;2;90;6;8;0
NHH2086-16;2;90;36;46;0
NHH2089-16;2;80;18;19;0
NHI5001-15;2;60;99;89;39
NHI5011-13;6;264;280;286;3
NHI5015-15;3;90;278;90;188
NHT1002-15;6;270;337;337;0
NHT1049-15;2;70;14;14;0
NHT1053-15;2;60;74;72;0
NHT1055-15;2;61;54;61;0
NHT1056-15;4;40;64;40;24
NHT1057-15;1;30;52;30;22
NHT1058-15;2;60;21;26;0
NHT1061-15;2;60;43;55;0
NHT1062-15;2;60;28;49;0
NHT1065-15;4;40;42;37;5
NHT1066-15;2;60;22;25;0
NHT1067-15;2;60;29;47;0
NHT1073-15;2;61;41;55;0
NHT1085-16;2;60;19;21;0
NHT1086-16;2;60;23;29;0
NHT1091-16;2;20;6;6;0
NHT1093-16;2;20;5;5;0
NHT3012-15;2;60;41;40;0
NHT3027-15;2;60;26;23;0
NHT3028-15;2;60;13;13;0
NHT3037-13;1;30;12;19;0
NHT3049-15;2;60;41;47;0
NHT3065-15;2;60;28;28;0
NHT3067-15;2;60;30;35;0
NHT3071-15;2;60;19;21;0
NHT3072-15;2;59;32;34;0
NHT3089-15;1;25;13;15;0
NHT3091-15;2;60;6;7;1
NHT4006-15;1;30;32;32;0
NHT4007-15;1;40;5;9;0
NHT4017-15;2;60;36;45;0
NHT4023-15;2;60;30;46;0
NHT4024-15;2;60;32;38;0
NHT4025-15;2;95;11;15;0
NHT4032-15;2;60;13;13;0
NHT4033-15;4;40;69;36;30
NHT4046-15;1;30;10;12;0
NHT4050-15;6;60;34;29;5
NHT4052-15;4;40;33;28;5
NHT4055-15;2;60;11;17;0
NHT4056-15;1;10;28;10;18
NHT4057-15;2;60;23;26;0
NHT4058-15;2;60;7;8;0
NHT4072-15;2;60;22;28;0
NHT5012-15;2;60;56;60;0
NHZ1003-15;1;30;16;30;0
NHZ1051-13;1;30;32;35;0
NHZ1078-15;4;40;34;33;0
NHZ1079-15;1;29;7;7;0
NHZ2036-11;2;90;16;29;0
NHZ2092-16;2;80;84;94;0
NHZ2093-16;1;50;77;50;27
NHZ2100-16;1;40;2;6;0
NHZ2108-18;2;90;21;38;0
NHZ2116-18;2;90;26;45;0
NHZ3007-15;1;30;2;3;0
NHZ3020-15;1;30;8;7;0
NHZ3024-15;1;30;8;9;0
NHZ3043-15;2;60;94;83;11
NHZ3053-15;1;30;11;11;0
NHZ3075-15;1;30;6;9;0
NHZ3084-15;1;30;14;25;0
NHZ4004-15;1;30;30;29;0
NHZ4028-15;2;60;29;32;0
NHZ4029-15;2;60;2;0;2
NHZ4077-20;1;30;51;30;21
NHZ5016-15;6;264;308;295;19
NHZ5019-15;6;264;307;303;17
NHZ5023-18;4;180;166;180;0
NHZ6004-18;2;60;41;44;2
NHZ6012-18;2;60;81;81;0
NHZ6013-18;1;30;44;44;0
